Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|ES,25.07.2022 00:00 - 25.07.2022 01:00 (CET/CEST),457.0,0.0,0.0,13855.0,1265.0,60.0,0.0,0.0,0.0,,0.0,570.0,2681.0,0.0,6925.0,44.0,87.0,312.0,273.0,0.0,5002.0
BZN|ES,25.07.2022 01:00 - 25.07.2022 02:00 (CET/CEST),452.0,0.0,0.0,12982.0,1269.0,55.0,0.0,0.0,0.0,,61.0,554.0,1634.0,0.0,6922.0,44.0,84.0,288.0,272.0,0.0,5362.0
BZN|ES,25.07.2022 02:00 - 25.07.2022 03:00 (CET/CEST),439.0,0.0,0.0,12852.0,1268.0,52.0,0.0,0.0,0.0,,586.0,542.0,995.0,0.0,6924.0,44.0,84.0,259.0,275.0,0.0,5274.0
BZN|ES,25.07.2022 03:00 - 25.07.2022 04:00 (CET/CEST),436.0,0.0,0.0,12260.0,1267.0,52.0,0.0,0.0,0.0,,595.0,539.0,658.0,0.0,6924.0,44.0,82.0,252.0,275.0,0.0,5074.0
BZN|ES,25.07.2022 04:00 - 25.07.2022 05:00 (CET/CEST),434.0,0.0,0.0,11790.0,1268.0,52.0,0.0,0.0,0.0,,671.0,527.0,521.0,0.0,6928.0,44.0,83.0,269.0,276.0,0.0,4771.0
BZN|ES,25.07.2022 05:00 - 25.07.2022 06:00 (CET/CEST),455.0,0.0,0.0,12128.0,1270.0,52.0,0.0,0.0,0.0,,742.0,537.0,496.0,0.0,6928.0,44.0,84.0,252.0,276.0,0.0,4506.0
BZN|ES,25.07.2022 06:00 - 25.07.2022 07:00 (CET/CEST),459.0,0.0,0.0,13164.0,1269.0,55.0,0.0,0.0,0.0,,548.0,545.0,714.0,0.0,6931.0,44.0,84.0,196.0,273.0,0.0,4315.0
BZN|ES,25.07.2022 07:00 - 25.07.2022 08:00 (CET/CEST),460.0,0.0,0.0,13539.0,1271.0,56.0,0.0,0.0,0.0,,400.0,555.0,1351.0,0.0,6936.0,44.0,84.0,355.0,275.0,0.0,4310.0
BZN|ES,25.07.2022 08:00 - 25.07.2022 09:00 (CET/CEST),456.0,0.0,0.0,13721.0,1269.0,59.0,0.0,0.0,0.0,,412.0,575.0,1498.0,0.0,6848.0,44.0,86.0,2069.0,272.0,0.0,4132.0
BZN|ES,25.07.2022 09:00 - 25.07.2022 10:00 (CET/CEST),459.0,0.0,0.0,13715.0,1274.0,60.0,0.0,0.0,0.0,,717.0,610.0,1418.0,0.0,6740.0,44.0,88.0,5544.0,268.0,0.0,3609.0
BZN|ES,25.07.2022 10:00 - 25.07.2022 11:00 (CET/CEST),451.0,0.0,0.0,13270.0,1270.0,60.0,0.0,0.0,0.0,,696.0,622.0,1110.0,0.0,6767.0,44.0,82.0,8669.0,265.0,0.0,3412.0
BZN|ES,25.07.2022 11:00 - 25.07.2022 12:00 (CET/CEST),428.0,0.0,0.0,13131.0,1271.0,58.0,0.0,0.0,0.0,,632.0,630.0,1074.0,0.0,6800.0,45.0,84.0,10487.0,269.0,0.0,3167.0
BZN|ES,25.07.2022 12:00 - 25.07.2022 13:00 (CET/CEST),439.0,0.0,0.0,12890.0,1270.0,56.0,0.0,0.0,0.0,,97.0,631.0,983.0,0.0,6824.0,45.0,87.0,11948.0,264.0,0.0,3159.0
BZN|ES,25.07.2022 13:00 - 25.07.2022 14:00 (CET/CEST),439.0,0.0,0.0,13045.0,1290.0,56.0,0.0,0.0,0.0,,0.0,619.0,846.0,0.0,6847.0,45.0,86.0,12412.0,264.0,0.0,3445.0
BZN|ES,25.07.2022 14:00 - 25.07.2022 15:00 (CET/CEST),439.0,0.0,0.0,12881.0,1293.0,56.0,0.0,0.0,0.0,,135.0,620.0,879.0,0.0,6880.0,44.0,81.0,12627.0,265.0,0.0,4086.0
BZN|ES,25.07.2022 15:00 - 25.07.2022 16:00 (CET/CEST),410.0,0.0,0.0,12489.0,1297.0,57.0,0.0,0.0,0.0,,423.0,591.0,729.0,0.0,6910.0,45.0,79.0,12498.0,259.0,0.0,4753.0
BZN|ES,25.07.2022 16:00 - 25.07.2022 17:00 (CET/CEST),425.0,0.0,0.0,12614.0,1292.0,58.0,0.0,0.0,0.0,,883.0,559.0,605.0,0.0,6910.0,44.0,73.0,12095.0,262.0,0.0,5327.0
BZN|ES,25.07.2022 17:00 - 25.07.2022 18:00 (CET/CEST),436.0,0.0,0.0,13073.0,1234.0,54.0,0.0,0.0,0.0,,905.0,536.0,472.0,0.0,6909.0,44.0,77.0,11244.0,262.0,0.0,6043.0
BZN|ES,25.07.2022 18:00 - 25.07.2022 19:00 (CET/CEST),433.0,0.0,0.0,12829.0,1275.0,56.0,0.0,0.0,0.0,,911.0,514.0,415.0,0.0,6907.0,44.0,76.0,10159.0,250.0,0.0,6664.0
BZN|ES,25.07.2022 19:00 - 25.07.2022 20:00 (CET/CEST),456.0,0.0,0.0,13713.0,1273.0,56.0,0.0,0.0,0.0,,927.0,521.0,475.0,0.0,6907.0,45.0,74.0,7885.0,247.0,0.0,7197.0
BZN|ES,25.07.2022 20:00 - 25.07.2022 21:00 (CET/CEST),464.0,0.0,0.0,14952.0,1279.0,56.0,0.0,0.0,0.0,,561.0,547.0,1000.0,0.0,6900.0,44.0,83.0,4161.0,237.0,0.0,7988.0
BZN|ES,25.07.2022 21:00 - 25.07.2022 22:00 (CET/CEST),475.0,0.0,0.0,14949.0,1287.0,56.0,0.0,0.0,0.0,,40.0,571.0,1705.0,0.0,6905.0,44.0,83.0,1290.0,229.0,0.0,8077.0
BZN|ES,25.07.2022 22:00 - 25.07.2022 23:00 (CET/CEST),454.0,0.0,0.0,15126.0,1286.0,56.0,0.0,0.0,0.0,,33.0,580.0,2136.0,0.0,6908.0,44.0,82.0,594.0,227.0,0.0,8409.0
BZN|ES,25.07.2022 23:00 - 26.07.2022 00:00 (CET/CEST),437.0,0.0,0.0,15019.0,1289.0,57.0,0.0,0.0,0.0,,445.0,584.0,2113.0,0.0,6912.0,45.0,76.0,519.0,228.0,0.0,8165.0
